title,date,link,thumbnail,完工年月,場所,建物種別,受注形態,description,main_image,gallery,完工年月日,工事内容,完成年月日,建物,備考
荒川区西日暮里　ビル,2025年02月03日,https://www.tanaken-1982.co.jp/ja/case/building/building-5572944865130013756.html,https://www.tanaken-1982.co.jp/ja/case/building/building-5572944865130013756/image/20250203.jpg.jpg,2024.11,東京都,オフィスビル,元請け,N/A,N/A,,,,,,
河西サポートサービス㈱本社工場解体及び駐車場整地工事,2024年07月25日,https://www.tanaken-1982.co.jp/ja/case/factory/factory-2368910996730368065.html,https://www.tanaken-1982.co.jp/ja/case/factory/factory-2368910996730368065/image/20240725.JPG.JPG,2024.７,神奈川県,オフィス兼工場,元請け,N/A,N/A,,,,,,
国立富士見台団地マンション建替え事業 解体工事,2024年05月31日,https://www.tanaken-1982.co.jp/ja/case/housing/housing5682198864514583786.html,https://www.tanaken-1982.co.jp/ja/case/housing/housing5682198864514583786/image/202405311.JPG.JPG,2024.5,東京都,集合住宅,下請け,N/A,N/A,,,,,,
中野二丁目土地区画整理事業②,2024年05月31日,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-1821193125054743306.html,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-1821193125054743306/image/DSCF0217.JPG.JPG,2024.５,東京都,再開発,元請け,N/A,N/A,,,,,,
月島三丁目南地区第一種市街地再開発事業,2024年04月05日,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-2298031054790449454.html,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-2298031054790449454/image/1.jpeg.jpeg,2024.４,東京都,再開発,元請け,N/A,N/A,,,,,,
シノテスト相模原事業所,2024年01月31日,https://www.tanaken-1982.co.jp/ja/case/building/building-5526375693609921616.html,https://www.tanaken-1982.co.jp/ja/case/building/building-5526375693609921616/image/202401311.JPG.JPG,,神奈川県,商業施設・ビル,元請け,N/A,N/A,,2024.１,,,,
つきみ野某オフィス,2024年01月26日,https://www.tanaken-1982.co.jp/ja/case/building/building-2498232775304962186.html,https://www.tanaken-1982.co.jp/ja/case/building/building-2498232775304962186/image/202401261.JPG.JPG,2024.１,神奈川県,商業施設・ビル,元請け,N/A,N/A,,,,,,
某IT会社　センター・倉庫,2023年12月22日,https://www.tanaken-1982.co.jp/ja/case/factory/factory-7530959836129562629.html,https://www.tanaken-1982.co.jp/ja/case/factory/factory-7530959836129562629/image/20230720.JPG.JPG,2023.7,岡山県,営業所・倉庫,元請け,N/A,N/A,,,,,,
芝大門　某ビル,2023年11月18日,https://www.tanaken-1982.co.jp/ja/case/building/building-5283102868646243908.html,https://www.tanaken-1982.co.jp/ja/case/building/building-5283102868646243908/image/20231118.JPG.JPG,2023.11,東京都,オフィスビル,元請け,N/A,N/A,,,,,,
川西市某オフィス,2023年11月10日,https://www.tanaken-1982.co.jp/ja/case/building/building8556002944415382806.html,https://www.tanaken-1982.co.jp/ja/case/building/building8556002944415382806/image/20231110.JPG.JPG,2023.11,兵庫県,店舗,元請け,N/A,N/A,,,,,,
B運送会社　建屋・倉庫,2023年10月10日,https://www.tanaken-1982.co.jp/ja/case/factory/factory-1398321966936235021.html,https://www.tanaken-1982.co.jp/ja/case/factory/factory-1398321966936235021/image/20231010.JPG.JPG,2023.10,大阪府,建屋・倉庫,元請け,N/A,N/A,,,,,,
日本橋　某ビル,2023年08月31日,https://www.tanaken-1982.co.jp/ja/case/building/building3701692850622004818.html,https://www.tanaken-1982.co.jp/ja/case/building/building3701692850622004818/image/20230831.JPG.JPG,,東京都,複合ビル,元請け,N/A,N/A,,2023.8,,,,
A運送会社　建屋・倉庫,2023年07月31日,https://www.tanaken-1982.co.jp/ja/case/factory/factory5682848868968963345.html,https://www.tanaken-1982.co.jp/ja/case/factory/factory5682848868968963345/image/20230731.JPG.JPG,,東京都,建屋・倉庫,元請け,N/A,N/A,,2023/7/31,,,,
八重洲　某ビル,2023年07月20日,https://www.tanaken-1982.co.jp/ja/case/building/building-4104207405410147659.html,https://www.tanaken-1982.co.jp/ja/case/building/building-4104207405410147659/image/20230720.png.png,2023.7,東京都,ビル,元請け,N/A,N/A,,,,,,
府中某オフィス,2023年07月05日,https://www.tanaken-1982.co.jp/ja/case/building/building-4429439989029879655.html,https://www.tanaken-1982.co.jp/ja/case/building/building-4429439989029879655/image/20230705.JPG.JPG,2023.５,東京都,商業施設・ビル,元請け,N/A,N/A,,,,,,
神田三崎町　某ビル,2023年07月05日,https://www.tanaken-1982.co.jp/ja/case/building/building-3618660168902132078.html,https://www.tanaken-1982.co.jp/ja/case/building/building-3618660168902132078/image/20230705.jpg.jpg,,東京都,商業ビル,元請け,N/A,N/A,,2023.7,,,,
桜台団地マンション建替事業　解体工事,2023年05月31日,https://www.tanaken-1982.co.jp/ja/case/housing/housing2078205821438139788.html,https://www.tanaken-1982.co.jp/ja/case/housing/housing2078205821438139788/image/20230428.png.png,,神奈川県,共同住宅,下請け,N/A,N/A,,2023.4,,,,
社会福祉法人聖テレジア会 聖ヨゼフ病院,2023年05月31日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/school_hospital1269893944536886184.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/school_hospital1269893944536886184/image/20230912.JPG.JPG,2023.5,神奈川県,病院,元請け,N/A,N/A,,,解体,,,
Y社　社員寮,2023年04月15日,https://www.tanaken-1982.co.jp/ja/case/housing/housing-2590710941327327755.html,https://www.tanaken-1982.co.jp/ja/case/housing/housing-2590710941327327755/image/20230415.JPG.JPG,,千葉県,共同住宅,元請け,N/A,N/A,,,,2023.4,,
S社　社員寮,2022年12月27日,https://www.tanaken-1982.co.jp/ja/case/housing/housing2072720017964664984.html,https://www.tanaken-1982.co.jp/ja/case/housing/housing2072720017964664984/image/20221227.JPG.JPG,,埼玉県,共同住宅,元請け,N/A,N/A,,2022.12,,,,
囲町東地区第一種市街地再開発事業,2022年11月30日,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-8254832116909489938.html,https://www.tanaken-1982.co.jp/ja/case/redevelop/redevelop-8254832116909489938/image/2.JPG.JPG,2022.11,東京都,再開発,元請け,N/A,N/A,,,,,,
下目黒　某ビル,2022年11月24日,https://www.tanaken-1982.co.jp/ja/case/building/building-9006480098285757447.html,https://www.tanaken-1982.co.jp/ja/case/building/building-9006480098285757447/image/20221124.JPG.JPG,,東京都,オフィスビル,下請け,N/A,N/A,,2022.11,,,,
東京都大田区　スーパー,2022年11月16日,https://www.tanaken-1982.co.jp/ja/case/building/building6596253319080555418.html,https://www.tanaken-1982.co.jp/ja/case/building/building6596253319080555418/image/20221116.JPG.JPG,,東京都,スーパー,元請け,N/A,N/A,,2022.11,,,,
大阪府　ビジネスホテル,2022年06月25日,https://www.tanaken-1982.co.jp/ja/case/building/building-8237374869352131388.html,https://www.tanaken-1982.co.jp/ja/case/building/building-8237374869352131388/image/202306252.JPG.JPG,2022.6,大阪府,,下請け,N/A,N/A,,,,,ビジネスホテル,
大阪府薬品工場跡,2022年05月31日,https://www.tanaken-1982.co.jp/ja/case/factory/factory5640053243150003913.html,https://www.tanaken-1982.co.jp/ja/case/factory/factory5640053243150003913/image/20230913.jpg.jpg,2022.12,大阪府,工場,元請け,N/A,N/A,,,解体,,,
立飛201号棟現存建物地上部解体工事,2021年03月19日,https://www.tanaken-1982.co.jp/ja/case/factory/f016.html,https://www.tanaken-1982.co.jp/ja/case/factory/f016/image/f016.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2021.3.19,解体,,,
（仮称）東恋ヶ窪3丁目既存建物解体工事,2021年03月15日,https://www.tanaken-1982.co.jp/ja/case/factory/f015.html,https://www.tanaken-1982.co.jp/ja/case/factory/f015/image/f015.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2021.3.15,解体,,,
宮城県東北地方 既存施設解体工事,2021年02月27日,https://www.tanaken-1982.co.jp/ja/case/building/b048.html,https://www.tanaken-1982.co.jp/ja/case/building/b048/image/b048.png.png,,宮城県,商業施設・ビル,元請,N/A,N/A,,2021.2.27,解体,,,
N㈱寮解体工事,2021年02月26日,https://www.tanaken-1982.co.jp/ja/case/housing/h009.html,https://www.tanaken-1982.co.jp/ja/case/housing/h009/image/h009.jpg.jpg,,東京都,集合住宅,下請,N/A,N/A,,2021.2.26,解体,,,
西麻布六本木通りビル建替えPJ解体工事,2021年02月24日,https://www.tanaken-1982.co.jp/ja/case/building/b045.html,https://www.tanaken-1982.co.jp/ja/case/building/b045/image/b045.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2021.2.24,解体,,,
（仮称）八潮物流施設新築工事に伴う既存建物解体工事,2020年11月30日,https://www.tanaken-1982.co.jp/ja/case/factory/f017.html,https://www.tanaken-1982.co.jp/ja/case/factory/f017/image/f017.jpg.jpg,,埼玉県,工場・倉庫,下請,N/A,N/A,,2020.11.30,解体,,,
新橋四丁目計画解体工事,2020年11月28日,https://www.tanaken-1982.co.jp/ja/case/building/building-5825272420710348814.html,https://www.tanaken-1982.co.jp/ja/case/building/building-5825272420710348814/image/20201128.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2020.11,,,,
ホテル本館解体工事,2020年09月19日,https://www.tanaken-1982.co.jp/ja/case/building/b044.html,https://www.tanaken-1982.co.jp/ja/case/building/b044/image/b044.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2020.9.19,解体,,,
I上福岡店　解体工事,2020年07月31日,https://www.tanaken-1982.co.jp/ja/case/building/b040.html,https://www.tanaken-1982.co.jp/ja/case/building/b040/image/IY3-2.jpg.jpg,,埼玉県,商業施設・ビル,元請,N/A,N/A,,2020.10.16,解体,,,
赤羽スタジオ　解体工事,2020年07月31日,https://www.tanaken-1982.co.jp/ja/case/building/b038.html,https://www.tanaken-1982.co.jp/ja/case/building/b038/image/D3.jpg.jpg,,東京都,商業施設・ビル,下請,N/A,N/A,,2020.7.19,解体,,,
中野二丁目地区再開発事業,2020年07月31日,https://www.tanaken-1982.co.jp/ja/case/redevelop/r002.html,https://www.tanaken-1982.co.jp/ja/case/redevelop/r002/image/nakano1.jpg.jpg,,東京都,再開発,元請,N/A,N/A,,2020.4.28,解体,,,
旧O病院　解体工事,2020年07月31日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s007.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s007/image/TO.jpg.jpg,,東京都,学校・病院施設,元請,N/A,N/A,,2020.9.30,解体,,,
某入浴施設解体工事,2020年07月21日,https://www.tanaken-1982.co.jp/ja/case/building/b047.html,https://www.tanaken-1982.co.jp/ja/case/building/b047/image/b047.png.png,,東京都,商業施設・ビル,元請,N/A,N/A,,2020.7.21,解体,,,
本社建替えの為の解体工事,2020年06月30日,https://www.tanaken-1982.co.jp/ja/case/building/b041.html,https://www.tanaken-1982.co.jp/ja/case/building/b041/image/TC.jpg.jpg,,東京都,商業施設・ビル,下請,N/A,N/A,,2020.6.30,解体,,,
金沢商業施設解体工事,2020年06月30日,https://www.tanaken-1982.co.jp/ja/case/building/b043.html,https://www.tanaken-1982.co.jp/ja/case/building/b043/image/KT.jpg.jpg,,石川県,商業施設・ビル,元請,N/A,N/A,,2020.6.30,解体,,,
相模原市　百貨店解体工事,2020年06月29日,https://www.tanaken-1982.co.jp/ja/case/building/b037.html,https://www.tanaken-1982.co.jp/ja/case/building/b037/image/SI.jpg.jpg,,神奈川県,商業施設・ビル,下請,N/A,N/A,,工事中,解体,,,
I東大阪店　解体工事,2020年05月09日,https://www.tanaken-1982.co.jp/ja/case/building/b042.html,https://www.tanaken-1982.co.jp/ja/case/building/b042/image/IYH.jpg.jpg,,大阪府,商業施設・ビル,元請,N/A,N/A,,2020.5.9,解体,,,
いなげや武蔵村山精肉センター解体工事,2019年12月31日,https://www.tanaken-1982.co.jp/ja/case/factory/f014.html,https://www.tanaken-1982.co.jp/ja/case/factory/f014/image/IM.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2020.1.24,解体,,,
つくば市東新井計画解体工事,2019年11月29日,https://www.tanaken-1982.co.jp/ja/case/housing/h008.html,https://www.tanaken-1982.co.jp/ja/case/housing/h008/image/T4.jpg.jpg,,茨城県,集合住宅,下請,N/A,N/A,,2019.11.29,解体,,,
Kビル解体工事,2019年09月01日,https://www.tanaken-1982.co.jp/ja/case/building/b036.html,https://www.tanaken-1982.co.jp/ja/case/building/b036/image/K1.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2020.3.25,解体,,,
若潮ハイツ建替計画　解体工事（Ⅰ期工事）,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/housing/h007.html,https://www.tanaken-1982.co.jp/ja/case/housing/h007/image/WH.JPG.JPG,,千葉県,集合住宅,下請,N/A,N/A,,2018.9.25,解体,,,
某社員寮解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/housing/h006.html,https://www.tanaken-1982.co.jp/ja/case/housing/h006/image/W.jpg.jpg,,神奈川県,集合住宅,下請,N/A,N/A,,2018.9.29,解体,,,
横浜大栄ビル解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b035.html,https://www.tanaken-1982.co.jp/ja/case/building/b035/image/YB.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2018.5.21,解体,,,
（仮称）名鉄運輸㈱深川支店,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b034.html,https://www.tanaken-1982.co.jp/ja/case/building/b034/image/images.jpg.jpg,,東京都,事務所,元請,N/A,N/A,,2018.5.8,解体,,,
某ビル解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b033.html,https://www.tanaken-1982.co.jp/ja/case/building/b033/image/SE2.JPG.JPG,,東京都,事務所,下請,N/A,N/A,,2018.12.8,解体,,,
（仮称）Landport東習志野新築工事に伴う既存建物解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b032.html,https://www.tanaken-1982.co.jp/ja/case/building/b032/image/H1.JPG.JPG,,千葉県,商業施設・ビル,下請,N/A,N/A,,2018.4.13,解体,,,
国永紙業㈱本社建屋解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b031.html,https://www.tanaken-1982.co.jp/ja/case/building/b031/image/KE2.JPG.JPG,,東京都,事務所,下請,N/A,N/A,,2018.7.26,解体,,,
外神田三丁目計画　既存建物地上部解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b030.html,https://www.tanaken-1982.co.jp/ja/case/building/b030/image/SK1.JPG.JPG,,東京都,商業施設・ビル,下請,N/A,N/A,,2018.11.30,解体,,,
